feature,importance
odds_log,22.63170869892385
late_position,15.76729268976331
position_change,7.357224616802203
is_dirt,5.088223776545549
early_position,4.210166680637005
post_position_num,4.093318660547325
distance_num,3.1882345413819224
is_turf,2.609849279541415
馬体重,2.4455015399810542
trainer_win_rate,2.3574247743546404
last_position,2.000190977136589
horse_age_num,1.9701309253642973
jockey_place_rate,1.901711857144338
jockey_win_rate,1.7935397621719804
aptitude_dirt,1.7846669804050275
jockey_races,1.66482239617338
avg_position_last_5,1.6130939307759438
trainer_races,1.597141708716004
weight_change_kg,1.5428502576732674
last_3f_avg,1.504365108285593
career_races,1.3780928222838695
avg_position_last_3,1.2056904836494893
last_3f_last,1.1132074346559848
last_3f_best,1.0348080910617121
horse_sex_encoded,0.9157627546222444
斤量,0.8933652613048821
aptitude_course,0.8687447230418934
aptitude_turf,0.718891492989979
win_rate_last_3,0.674197834924219
grade_level,0.6238334971571805
aptitude_sprint,0.6206804233814505
place_rate_last_3,0.5979928110596486
place_rate_last_5,0.5630690041927532
aptitude_mile,0.5087604188739372
win_rate_last_5,0.45713003900309207
track_condition_num,0.4479079307426193
is_graded_race,0.12505237872883454
aptitude_intermediate,0.06974397666785949
aptitude_long,0.061609459333656656
