feature,importance
odds_log,14.093474254825201
late_position,9.191647116171918
is_dirt,4.787036684263555
position_change,4.624001712731674
is_turf,4.239106915201956
early_position,2.9083087403982884
post_position_num,2.790396756427152
distance_num,2.485384693929065
last_position,2.3103516114686253
avg_position_last_3,2.0810874635643155
avg_position_last_5,2.0245180389268604
horse_age_num,1.9720044152561167
馬体重,1.9599482131917232
trainer_win_rate,1.9387869962672206
jockey_place_rate,1.9038912176504075
aptitude_dirt,1.8867668989960928
jockey_win_rate,1.8194086550583033
last_3f_avg,1.6971281839325183
jockey_races,1.6754882522868784
trainer_races,1.6659441675690307
weight_change_kg,1.661526044778825
career_races,1.6322017698984561
last_3f_last,1.6029870824819672
last_3f_best,1.556165434167584
斤量,1.5454081288140702
win_rate_last_5,1.516259857107069
place_rate_last_5,1.511076973006064
win_rate_last_3,1.5010570427428873
aptitude_course,1.4769462320672277
aptitude_sprint,1.461232136290114
place_rate_last_3,1.4465392144043228
aptitude_turf,1.4440749060800744
horse_sex_encoded,1.4330824521989105
aptitude_mile,1.3445149151424272
aptitude_long,1.2947444758193487
grade_level,1.2662568356561938
track_condition_num,1.254935346090435
aptitude_intermediate,1.200075264001998
is_graded_race,1.1421013428618005
