feature,importance
odds_log,59280.417524814606
late_position,37332.76301753521
position_change,11543.620541095734
last_3f_avg,6366.808683156967
last_3f_last,5405.567132472992
jockey_win_rate,5314.6772265434265
last_position,5242.287086009979
trainer_win_rate,5152.870821475983
jockey_place_rate,5152.760336637497
馬体重,4742.747496709228
post_position_num,4644.314892113209
avg_position_last_3,4473.6977162361145
last_3f_best,4335.391613006592
trainer_races,4322.845820128918
jockey_races,4086.813279390335
early_position,3762.7205579280853
avg_position_last_5,2907.5141228437424
distance_num,2618.704708337784
weight_change_kg,2367.7893174886703
aptitude_mile,2061.7394205331802
aptitude_turf,1978.4303302764893
horse_age_num,1860.9854879379272
aptitude_dirt,1784.9434299468994
career_races,1447.6460263729095
aptitude_course,1381.6570882797241
is_turf,1352.2893209457397
斤量,1284.5526893138885
aptitude_sprint,1261.5258218050003
track_condition_num,719.9032680988312
place_rate_last_5,600.1711897850037
win_rate_last_5,553.917160987854
aptitude_intermediate,457.68018913269043
win_rate_last_3,429.20818281173706
grade_level,386.2454867362976
horse_sex_encoded,354.6316018104553
place_rate_last_3,286.39183044433594
aptitude_long,204.74379873275757
is_dirt,154.23149871826172
is_graded_race,92.22305965423584
